A Malata;1993;12043
Abanca-Riazor;1944;32490
Alfredo Di Stéfano;2005;6000
Anexos Santo Domingo;;
Antonio Domínguez;1992;7500
Anxo Carro;1974;7840
Artunduaga;;
Balaídos;;
Benito Villamarín;1929;60721
Berazubi;;
Camp de la Morera;;
Camp dEsports;;
Camp Nou;1957;99354
Campo de Fútbol de Vallecas;;
Campo de fútbol Luis Oliver;;
Campo de Serralta;;
Campo de Son Malferit;;
Campo Municipal de Garachico;;
Carlos Belmonte;1960;18000
Cartagonova;1988;14353
Centro Deportivo Calavera;;
Centro Deportivo Vega de Triana;;
Cerro del Espino;;
Ciudad de Puertollano;2010;6813
Ciudad de Valencia;1969;26354
Ciudad Deportiva de Getafe;;
Coliseum Alfonso Pérez;1998;16500
El Alcoraz;1972;9100
El Astobiza;;
El Bayu;;
El Collao;;
El Fornás;;
El Madrigal;;
El Malecón;;
El Mundo del Fútbol;;
El Requexón;;
El Rosal;;
El Sadar;1967;23516
El Sardinero;;
El Toralín;2000;8400
Enrique Roca de Murcia;2006;31179
Estadi Municipal de Capellades;;
Estadio Francisco Gil Cardona;;
Estadio La Devesa;;
Estadio Municipal de Deportes El Mazo;;
Estadio Vivar Téllez;;
Etxezuri;;
Francisco de la Hera;1996;12000
Ganzábal;1922;4024
Gobela;;
Gran Canaria;2003;32392
Heliodoro Rodríguez López;1925;22824
Hermanos Antuña;1951;4000
Hermanos Llana;;
Instalaciones de Lezama;1971;3200
Instalaciones de Zubieta;;
Jesús Navas;;
José del Cuvillo;1972;8600
José Rico Pérez;1974;29500
José Zorrilla;;
Juegos Mediterráneos;;
La Condomina;1924;4600
La Cueva;;
La Florida;;
La Mina;1916;2000
La Romareda;1957;33608
La Rosaleda;1941;30044
La Veigona;;
La Victoria;2001;12569
Las Callejas;;
Las Gaunas;2002;16000
Las Llanas;;
Las Tolvas;;
Mallona;;
Manuel Galeano Sánchez;;
Martínez Valero;1976;31388
Mendizorroza;1924;19840
Merkatondoa;1928;3500
Mestalla;1923;49430
Miguel Prieto;;
Mintxeta;;
Multiusos de San Lázaro;;
Municipal Alfonso Murube;;
Municipal Carlos Tartiere;2000;30500
Municipal de Anduva;;
Municipal de Badalona;2017;4170
Municipal de Butarque;1998;12454
Municipal de Chapín;;
Municipal de El Plantío;1964;12642
Municipal de Ipurúa;1947;8164
Municipal de La Línea;;
Municipal de La Salud;;
Municipal de Loinaz;;
Municipal de Miramar;1952;5000
Municipal de Montilivi;1970;11200
Municipal de Montilla;1981;5000
Municipal de Pasarón;;
Municipal de Vilatenim;1986;9000
Municipal de Villafranca;;
Municipal El Molino;;
Municipal El Molinón-Enrique Castro Quini;1908;30000
Municipal Les Grases;;
Municipal Reino de León;;
Narcís Sala;1970;6593
Nou Estadi;;
Nou Estadi de Palamós;1989;3652
Nou Sardenya;1995;4000
Nova Creu Alta;1967;11908
Nuevo Arcángel;1993;20989
Nuevo Ategorri;;
Nuevo Castalia;;
Nuevo Colombino;2001;21670
Nuevo Lasesarre;;
Nuevo Los Cármenes;;
Nuevo Los Pajaritos;1999;8261
Nuevo Mirador;1999;7200
Nuevo Pepico Amat;;
Nuevo Vivero;1998;14175
Olímpic de Terrassa;1960;11500
Pallafría;;
Paterna;;
Pedro Escartín;1967;7000
Pistas del Helmántico;;
Príncipe Felipe;1977;7000
Ramón de Carranza;1957;20000
Ramón Sánchez-Pizjuán;1958;43883
RCDE Stadium;2009;40500
Reale Arena;1993;39313
Romano;1953;14600
San Mamés;2013;53331
Santiago Bernabéu;1947;81044
Santo Domingo;1978;5100
Silvestre Carrillo;;
Son Moix;1999;23142
Stadium Gal;1926;5000
Suárez Puerta;;
Tabira;;
Urbieta;;
Urritxe;;
Valle las Huertas;;
Virgen de las Nieves;2001;6000
Wanda Metropolitano;;