idTemp;inicio;fin;suDiv
0;1972;1973;1
1000;1972;1973;2
1;1973;1974;1
1001;1973;1974;2
2;1974;1975;1
1002;1974;1975;2
3;1975;1976;1
1003;1975;1976;2
4;1976;1977;1
1004;1976;1977;2
5;1977;1978;1
1005;1977;1978;2
6;1978;1979;1
1006;1978;1979;2
7;1979;1980;1
1007;1979;1980;2
8;1980;1981;1
1008;1980;1981;2
9;1981;1982;1
1009;1981;1982;2
10;1982;1983;1
1010;1982;1983;2
11;1983;1984;1
1011;1983;1984;2
12;1984;1985;1
1012;1984;1985;2
13;1985;1986;1
1013;1985;1986;2
14;1986;1987;1
1014;1986;1987;2
15;1987;1988;1
1015;1987;1988;2
16;1988;1989;1
1016;1988;1989;2
17;1989;1990;1
1017;1989;1990;2
18;1990;1991;1
1018;1990;1991;2
19;1991;1992;1
1019;1991;1992;2
20;1992;1993;1
1020;1992;1993;2
21;1993;1994;1
1021;1993;1994;2
22;1994;1995;1
1022;1994;1995;2
23;1995;1996;1
1023;1995;1996;2
24;1996;1997;1
1024;1996;1997;2
25;1997;1998;1
1025;1997;1998;2
26;1998;1999;1
1026;1998;1999;2
27;1999;2000;1
1027;1999;2000;2
28;2000;2001;1
1028;2000;2001;2
29;2001;2002;1
1029;2001;2002;2
30;2002;2003;1
1030;2002;2003;2
31;2003;2004;1
1031;2003;2004;2
32;2004;2005;1
1032;2004;2005;2
33;2005;2006;1
1033;2005;2006;2
34;2006;2007;1
1034;2006;2007;2
35;2007;2008;1
1035;2007;2008;2
36;2008;2009;1
1036;2008;2009;2
37;2009;2010;1
1037;2009;2010;2
38;2010;2011;1
1038;2010;2011;2
39;2011;2012;1
1039;2011;2012;2
40;2012;2013;1
1040;2012;2013;2
41;2013;2014;1
1041;2013;2014;2
42;2014;2015;1
1042;2014;2015;2
43;2015;2016;1
1043;2015;2016;2