EQUIPO_LOCAL;GOLES_LOCAL;GOLES_VISITANTE;Estadio
Real Madrid B;0;2;Alfredo Di Stéfano
Real Madrid B;0;3;Alfredo Di Stéfano
Real Madrid B;0;4;Alfredo Di Stéfano
Real Madrid B;1;0;Alfredo Di Stéfano
Real Madrid B;1;1;Alfredo Di Stéfano
Real Madrid B;1;2;Alfredo Di Stéfano
Real Madrid B;1;3;Alfredo Di Stéfano
Real Madrid B;2;0;Alfredo Di Stéfano
Real Madrid B;2;1;Alfredo Di Stéfano
Real Madrid B;2;2;Alfredo Di Stéfano
Real Madrid B;2;3;Alfredo Di Stéfano
Real Madrid B;2;4;Alfredo Di Stéfano
Real Madrid B;2;5;Alfredo Di Stéfano
Real Madrid B;3;0;Alfredo Di Stéfano
Real Madrid B;3;1;Alfredo Di Stéfano
Real Madrid B;3;2;Alfredo Di Stéfano
Real Madrid B;3;3;Alfredo Di Stéfano
Real Madrid B;3;4;Alfredo Di Stéfano
Real Madrid B;4;0;Alfredo Di Stéfano
Real Madrid B;4;1;Alfredo Di Stéfano
Real Madrid B;4;2;Alfredo Di Stéfano
Real Madrid B;4;3;Alfredo Di Stéfano
Real Madrid B;5;0;Alfredo Di Stéfano
Real Madrid B;5;1;Alfredo Di Stéfano
Real Madrid B;6;1;Alfredo Di Stéfano
Real Madrid B;7;0;Alfredo Di Stéfano
Real Madrid;0;0;Santiago Bernabéu
Real Madrid;0;1;Santiago Bernabéu
Real Madrid;0;2;Santiago Bernabéu
Real Madrid;0;3;Santiago Bernabéu
Real Madrid;0;4;Santiago Bernabéu
Real Madrid;0;5;Santiago Bernabéu
Real Madrid;1;0;Santiago Bernabéu
Real Madrid;1;1;Santiago Bernabéu
Real Madrid;1;2;Santiago Bernabéu
Real Madrid;1;3;Santiago Bernabéu
Real Madrid;1;4;Santiago Bernabéu
Real Madrid;1;5;Santiago Bernabéu
Real Madrid;2;0;Santiago Bernabéu
Real Madrid;2;1;Santiago Bernabéu
Real Madrid;2;2;Santiago Bernabéu
Real Madrid;2;3;Santiago Bernabéu
Real Madrid;2;4;Santiago Bernabéu
Real Madrid;2;6;Santiago Bernabéu
Real Madrid;3;0;Santiago Bernabéu
Real Madrid;3;1;Santiago Bernabéu
Real Madrid;3;2;Santiago Bernabéu
Real Madrid;3;3;Santiago Bernabéu
Real Madrid;3;4;Santiago Bernabéu
Real Madrid;4;0;Santiago Bernabéu
Real Madrid;4;1;Santiago Bernabéu
Real Madrid;4;2;Santiago Bernabéu
Real Madrid;4;3;Santiago Bernabéu
Real Madrid;5;0;Santiago Bernabéu
Real Madrid;5;1;Santiago Bernabéu
Real Madrid;5;2;Santiago Bernabéu
Real Madrid;6;0;Santiago Bernabéu
Real Madrid;6;1;Santiago Bernabéu
Real Madrid;6;2;Santiago Bernabéu
Real Madrid;7;0;Santiago Bernabéu
Real Madrid;7;1;Santiago Bernabéu
Real Madrid;7;2;Santiago Bernabéu
Real Madrid;7;3;Santiago Bernabéu
Real Madrid;8;1;Santiago Bernabéu
Real Madrid;9;1;Santiago Bernabéu
Real Sociedad;0;0;Reale Arena
Real Sociedad;0;1;Reale Arena
Real Sociedad;0;2;Reale Arena
Real Sociedad;0;3;Reale Arena
Real Sociedad;0;4;Reale Arena
Real Sociedad;0;6;Reale Arena
Real Sociedad;1;0;Reale Arena
Real Sociedad;1;1;Reale Arena
Real Sociedad;1;2;Reale Arena
Real Sociedad;1;3;Reale Arena
Real Sociedad;1;4;Reale Arena
Real Sociedad;1;5;Reale Arena
Real Sociedad;2;0;Reale Arena
Real Sociedad;2;1;Reale Arena
Real Sociedad;2;2;Reale Arena
Real Sociedad;2;3;Reale Arena
Real Sociedad;2;4;Reale Arena
Real Sociedad;2;5;Reale Arena
Real Sociedad;3;0;Reale Arena
Real Sociedad;3;1;Reale Arena
Real Sociedad;3;2;Reale Arena
Real Sociedad;3;3;Reale Arena
Real Sociedad;4;0;Reale Arena
Real Sociedad;4;1;Reale Arena
Real Sociedad;4;2;Reale Arena
Real Sociedad;4;3;Reale Arena
Real Sociedad;5;0;Reale Arena
Real Sociedad;5;1;Reale Arena
Real Sociedad;5;2;Reale Arena
Real Sociedad;5;3;Reale Arena
Real Sociedad;6;0;Reale Arena
Real Sociedad;6;1;Reale Arena
Real Sociedad;7;1;Reale Arena
Real Sociedad;8;1;Reale Arena
Real Unión;0;0;Stadium Gal
Real Unión;0;1;Stadium Gal
Real Unión;0;2;Stadium Gal
Real Unión;0;3;Stadium Gal
Real Unión;1;0;Stadium Gal
Real Unión;1;1;Stadium Gal
Real Unión;1;3;Stadium Gal
Real Unión;2;0;Stadium Gal
Real Unión;2;1;Stadium Gal
Real Unión;2;3;Stadium Gal
Real Unión;3;1;Stadium Gal
Real Unión;4;3;Stadium Gal
Rec. Huelva;0;0;Nuevo Colombino
Rec. Huelva;0;1;Nuevo Colombino
Rec. Huelva;0;2;Nuevo Colombino
Rec. Huelva;0;3;Nuevo Colombino
Rec. Huelva;0;4;Nuevo Colombino
Rec. Huelva;1;0;Nuevo Colombino
Rec. Huelva;1;1;Nuevo Colombino
Rec. Huelva;1;2;Nuevo Colombino
Rec. Huelva;1;3;Nuevo Colombino
Rec. Huelva;1;4;Nuevo Colombino
Rec. Huelva;1;5;Nuevo Colombino
Rec. Huelva;2;0;Nuevo Colombino
Rec. Huelva;2;1;Nuevo Colombino
Rec. Huelva;2;2;Nuevo Colombino
Rec. Huelva;2;3;Nuevo Colombino
Rec. Huelva;2;4;Nuevo Colombino
Rec. Huelva;2;5;Nuevo Colombino
Rec. Huelva;3;0;Nuevo Colombino
Rec. Huelva;3;1;Nuevo Colombino
Rec. Huelva;3;2;Nuevo Colombino
Rec. Huelva;3;3;Nuevo Colombino
Rec. Huelva;4;0;Nuevo Colombino
Rec. Huelva;4;1;Nuevo Colombino
Rec. Huelva;4;2;Nuevo Colombino
Rec. Huelva;4;3;Nuevo Colombino
Rec. Huelva;5;0;Nuevo Colombino
Rec. Huelva;5;1;Nuevo Colombino
Rec. Huelva;5;3;Nuevo Colombino
Rec. Huelva;6;1;Nuevo Colombino
Rec. Huelva;7;0;Nuevo Colombino
Sabadell;0;0;Nova Creu Alta
Sabadell;0;1;Nova Creu Alta
Sabadell;0;2;Nova Creu Alta
Sabadell;0;3;Nova Creu Alta
Sabadell;0;4;Nova Creu Alta
Sabadell;1;0;Nova Creu Alta
Sabadell;1;1;Nova Creu Alta
Sabadell;1;2;Nova Creu Alta
Sabadell;1;3;Nova Creu Alta
Sabadell;1;4;Nova Creu Alta
Sabadell;1;5;Nova Creu Alta
Sabadell;2;0;Nova Creu Alta
Sabadell;2;1;Nova Creu Alta
Sabadell;2;2;Nova Creu Alta
Sabadell;2;3;Nova Creu Alta
Sabadell;3;0;Nova Creu Alta
Sabadell;3;1;Nova Creu Alta
Sabadell;3;2;Nova Creu Alta
Sabadell;3;3;Nova Creu Alta
Sabadell;3;4;Nova Creu Alta
Sabadell;3;5;Nova Creu Alta
Sabadell;4;0;Nova Creu Alta
Sabadell;4;1;Nova Creu Alta
Sabadell;4;2;Nova Creu Alta
Sabadell;4;3;Nova Creu Alta
Sabadell;5;0;Nova Creu Alta
Sabadell;5;2;Nova Creu Alta
Sabadell;6;1;Nova Creu Alta
Salamanca;0;0;Pistas del Helmántico
Salamanca;0;1;Pistas del Helmántico
Salamanca;0;2;Pistas del Helmántico
Salamanca;0;3;Pistas del Helmántico
Salamanca;0;5;Pistas del Helmántico
Salamanca;1;0;Pistas del Helmántico
Salamanca;1;1;Pistas del Helmántico
Salamanca;1;2;Pistas del Helmántico
Salamanca;1;3;Pistas del Helmántico
Salamanca;1;4;Pistas del Helmántico
Salamanca;1;5;Pistas del Helmántico
Salamanca;2;0;Pistas del Helmántico
Salamanca;2;1;Pistas del Helmántico
Salamanca;2;2;Pistas del Helmántico
Salamanca;2;3;Pistas del Helmántico
Salamanca;2;4;Pistas del Helmántico
Salamanca;3;0;Pistas del Helmántico
Salamanca;3;1;Pistas del Helmántico
Salamanca;3;2;Pistas del Helmántico
Salamanca;3;3;Pistas del Helmántico
Salamanca;4;0;Pistas del Helmántico
Salamanca;4;1;Pistas del Helmántico
Salamanca;4;2;Pistas del Helmántico
Salamanca;4;3;Pistas del Helmántico
Salamanca;4;5;Pistas del Helmántico
Salamanca;5;0;Pistas del Helmántico
Salamanca;5;1;Pistas del Helmántico
Salamanca;5;4;Pistas del Helmántico
Salamanca;6;0;Pistas del Helmántico
Sant Andreu;0;0;Narcís Sala
Sant Andreu;0;1;Narcís Sala
Sant Andreu;0;2;Narcís Sala
Sant Andreu;1;0;Narcís Sala
Sant Andreu;1;1;Narcís Sala
Sant Andreu;1;2;Narcís Sala
Sant Andreu;1;3;Narcís Sala
Sant Andreu;2;0;Narcís Sala
Sant Andreu;2;1;Narcís Sala
Sant Andreu;2;2;Narcís Sala
Sant Andreu;2;3;Narcís Sala
Sant Andreu;2;4;Narcís Sala
Sant Andreu;3;0;Narcís Sala
Sant Andreu;3;1;Narcís Sala
Sant Andreu;3;2;Narcís Sala
Sant Andreu;3;3;Narcís Sala
Sant Andreu;4;0;Narcís Sala
Sant Andreu;4;1;Narcís Sala
Sant Andreu;4;2;Narcís Sala
Sant Andreu;5;0;Narcís Sala
Sant Andreu;5;1;Narcís Sala
Sestao;0;0;Las Llanas
Sestao;0;1;Las Llanas
Sestao;0;2;Las Llanas
Sestao;0;3;Las Llanas
Sestao;0;4;Las Llanas
Sestao;1;0;Las Llanas
Sestao;1;1;Las Llanas
Sestao;1;2;Las Llanas
Sestao;1;3;Las Llanas
Sestao;1;4;Las Llanas
Sestao;2;0;Las Llanas
Sestao;2;1;Las Llanas
Sestao;2;2;Las Llanas
Sestao;3;0;Las Llanas
Sestao;3;1;Las Llanas
Sestao;4;0;Las Llanas
Sestao;4;1;Las Llanas
Sestao;5;0;Las Llanas
Sestao;5;3;Las Llanas
Sevilla B;0;0;Jesús Navas
Sevilla B;0;1;Jesús Navas
Sevilla B;0;2;Jesús Navas
Sevilla B;0;4;Jesús Navas
Sevilla B;1;0;Jesús Navas
Sevilla B;1;1;Jesús Navas
Sevilla B;1;2;Jesús Navas
Sevilla B;1;3;Jesús Navas
Sevilla B;2;0;Jesús Navas
Sevilla B;2;1;Jesús Navas
Sevilla B;2;2;Jesús Navas
Sevilla B;2;3;Jesús Navas
Sevilla B;3;3;Jesús Navas
Sevilla B;3;4;Jesús Navas
Sevilla B;4;2;Jesús Navas
Sevilla;0;0;Ramón Sánchez-Pizjuán
Sevilla;0;1;Ramón Sánchez-Pizjuán
Sevilla;0;2;Ramón Sánchez-Pizjuán
Sevilla;0;3;Ramón Sánchez-Pizjuán
Sevilla;0;4;Ramón Sánchez-Pizjuán
Sevilla;1;0;Ramón Sánchez-Pizjuán
Sevilla;1;1;Ramón Sánchez-Pizjuán
Sevilla;1;2;Ramón Sánchez-Pizjuán
Sevilla;1;3;Ramón Sánchez-Pizjuán
Sevilla;1;4;Ramón Sánchez-Pizjuán
Sevilla;2;0;Ramón Sánchez-Pizjuán
Sevilla;2;1;Ramón Sánchez-Pizjuán
Sevilla;2;2;Ramón Sánchez-Pizjuán
Sevilla;2;3;Ramón Sánchez-Pizjuán
Sevilla;2;4;Ramón Sánchez-Pizjuán
Sevilla;2;6;Ramón Sánchez-Pizjuán
Sevilla;3;0;Ramón Sánchez-Pizjuán
Sevilla;3;1;Ramón Sánchez-Pizjuán
Sevilla;3;2;Ramón Sánchez-Pizjuán
Sevilla;3;3;Ramón Sánchez-Pizjuán
Sevilla;4;0;Ramón Sánchez-Pizjuán
Sevilla;4;1;Ramón Sánchez-Pizjuán
Sevilla;4;2;Ramón Sánchez-Pizjuán
Sevilla;4;3;Ramón Sánchez-Pizjuán
Sevilla;5;0;Ramón Sánchez-Pizjuán
Sevilla;5;1;Ramón Sánchez-Pizjuán
Sevilla;5;2;Ramón Sánchez-Pizjuán
Sevilla;6;1;Ramón Sánchez-Pizjuán
Sevilla;7;1;Ramón Sánchez-Pizjuán
Sporting Gijón;0;0;El Requexón
Sporting Gijón;0;1;El Requexón
Sporting Gijón;0;2;El Requexón
Sporting Gijón;0;3;El Requexón
Sporting Gijón;0;4;El Requexón
Sporting Gijón;1;0;El Requexón
Sporting Gijón;1;1;El Requexón
Sporting Gijón;1;2;El Requexón
Sporting Gijón;1;3;El Requexón
Sporting Gijón;1;4;El Requexón
Sporting Gijón;1;6;El Requexón
Sporting Gijón;2;0;El Requexón
Sporting Gijón;2;1;El Requexón
Sporting Gijón;2;2;El Requexón
Sporting Gijón;2;3;El Requexón
Sporting Gijón;2;4;El Requexón
Sporting Gijón;2;5;El Requexón
Sporting Gijón;3;0;El Requexón
Sporting Gijón;3;1;El Requexón
Sporting Gijón;3;2;El Requexón
Sporting Gijón;3;3;El Requexón
Sporting Gijón;4;0;El Requexón
Sporting Gijón;4;1;El Requexón
Sporting Gijón;4;2;El Requexón
Sporting Gijón;4;3;El Requexón
Sporting Gijón;5;0;El Requexón
Sporting Gijón;5;1;El Requexón
Sporting Gijón;5;2;El Requexón
Sporting Gijón;5;3;El Requexón
Sporting Gijón;5;4;El Requexón
Sporting Gijón;6;1;El Requexón
Sporting Gijón;6;2;El Requexón
Sporting Gijón;7;1;El Requexón
Tenerife;0;0;Heliodoro Rodríguez López
Tenerife;0;1;Heliodoro Rodríguez López
Tenerife;0;2;Heliodoro Rodríguez López
Tenerife;0;3;Heliodoro Rodríguez López
Tenerife;0;4;Heliodoro Rodríguez López
Tenerife;0;5;Heliodoro Rodríguez López
Tenerife;0;6;Heliodoro Rodríguez López
Tenerife;1;0;Heliodoro Rodríguez López
Tenerife;1;1;Heliodoro Rodríguez López
Tenerife;1;2;Heliodoro Rodríguez López
Tenerife;1;3;Heliodoro Rodríguez López
Tenerife;1;4;Heliodoro Rodríguez López
Tenerife;1;5;Heliodoro Rodríguez López
Tenerife;2;0;Heliodoro Rodríguez López
Tenerife;2;1;Heliodoro Rodríguez López
Tenerife;2;2;Heliodoro Rodríguez López
Tenerife;2;3;Heliodoro Rodríguez López
Tenerife;3;0;Heliodoro Rodríguez López
Tenerife;3;1;Heliodoro Rodríguez López
Tenerife;3;2;Heliodoro Rodríguez López
Tenerife;3;3;Heliodoro Rodríguez López
Tenerife;3;5;Heliodoro Rodríguez López
Tenerife;4;0;Heliodoro Rodríguez López
Tenerife;4;1;Heliodoro Rodríguez López
Tenerife;4;2;Heliodoro Rodríguez López
Tenerife;4;3;Heliodoro Rodríguez López
Tenerife;5;0;Heliodoro Rodríguez López
Tenerife;5;1;Heliodoro Rodríguez López
Tenerife;5;3;Heliodoro Rodríguez López
Tenerife;6;0;Heliodoro Rodríguez López
Terrassa;0;0;Olímpic de Terrassa
Terrassa;0;1;Olímpic de Terrassa
Terrassa;0;2;Olímpic de Terrassa
Terrassa;0;4;Olímpic de Terrassa
Terrassa;1;0;Olímpic de Terrassa
Terrassa;1;1;Olímpic de Terrassa
Terrassa;1;2;Olímpic de Terrassa
Terrassa;1;3;Olímpic de Terrassa
Terrassa;1;4;Olímpic de Terrassa
Terrassa;2;0;Olímpic de Terrassa
Terrassa;2;1;Olímpic de Terrassa
Terrassa;2;2;Olímpic de Terrassa
Terrassa;2;3;Olímpic de Terrassa
Terrassa;2;4;Olímpic de Terrassa
Terrassa;2;5;Olímpic de Terrassa
Terrassa;3;0;Olímpic de Terrassa
Terrassa;3;1;Olímpic de Terrassa
Terrassa;3;2;Olímpic de Terrassa
Terrassa;4;0;Olímpic de Terrassa
Terrassa;4;1;Olímpic de Terrassa
Terrassa;4;2;Olímpic de Terrassa
Terrassa;4;4;Olímpic de Terrassa
Terrassa;6;1;Olímpic de Terrassa
Toledo;0;0;
Toledo;0;1;
Toledo;0;2;
Toledo;0;3;
Toledo;0;4;
Toledo;1;0;
Toledo;1;1;
Toledo;1;2;
Toledo;1;3;
Toledo;1;4;
Toledo;2;0;
Toledo;2;1;
Toledo;2;2;
Toledo;2;3;
Toledo;2;5;
Toledo;3;0;
Toledo;3;1;
Toledo;3;2;
Toledo;3;3;
Toledo;4;0;
Toledo;4;1;
Toledo;5;0;
Toledo;5;2;
Univ.Las Palma;0;0;
Univ.Las Palma;0;1;
Univ.Las Palma;0;2;
Univ.Las Palma;1;0;
Univ.Las Palma;1;1;
Univ.Las Palma;1;3;
Univ.Las Palma;2;1;
Univ.Las Palma;2;2;
Valencia B;0;0;Paterna
Valencia B;0;1;Paterna
Valencia B;1;0;Paterna
Valencia B;1;1;Paterna
Valencia B;1;2;Paterna
Valencia B;1;3;Paterna
Valencia B;2;1;Paterna
Valencia B;2;3;Paterna
Valencia B;3;1;Paterna
Valencia;0;0;Mestalla
Valencia;0;1;Mestalla
Valencia;0;2;Mestalla
Valencia;0;3;Mestalla
Valencia;0;4;Mestalla
Valencia;0;5;Mestalla
Valencia;1;0;Mestalla
Valencia;1;1;Mestalla
Valencia;1;2;Mestalla
Valencia;1;3;Mestalla
Valencia;1;5;Mestalla
Valencia;2;0;Mestalla
Valencia;2;1;Mestalla
Valencia;2;2;Mestalla
Valencia;2;3;Mestalla
Valencia;2;4;Mestalla
Valencia;2;5;Mestalla
Valencia;3;0;Mestalla
Valencia;3;1;Mestalla
Valencia;3;2;Mestalla
Valencia;3;3;Mestalla
Valencia;3;4;Mestalla
Valencia;3;6;Mestalla
Valencia;4;0;Mestalla
Valencia;4;1;Mestalla
Valencia;4;2;Mestalla
Valencia;4;3;Mestalla
Valencia;5;0;Mestalla
Valencia;5;1;Mestalla
Valencia;5;2;Mestalla
Valencia;5;3;Mestalla
Valencia;6;0;Mestalla
Valencia;6;1;Mestalla
Valencia;6;2;Mestalla
Valencia;6;3;Mestalla
Valencia;7;0;Mestalla
Valencia;7;1;Mestalla
Valladolid;0;0;José Zorrilla
Valladolid;0;1;José Zorrilla
Valladolid;0;2;José Zorrilla
Valladolid;0;3;José Zorrilla
Valladolid;0;4;José Zorrilla
Valladolid;0;5;José Zorrilla
Valladolid;0;6;José Zorrilla
Valladolid;1;0;José Zorrilla
Valladolid;1;1;José Zorrilla
Valladolid;1;2;José Zorrilla
Valladolid;1;3;José Zorrilla
Valladolid;1;4;José Zorrilla
Valladolid;1;5;José Zorrilla
Valladolid;2;0;José Zorrilla
Valladolid;2;1;José Zorrilla
Valladolid;2;2;José Zorrilla
Valladolid;2;3;José Zorrilla
Valladolid;2;4;José Zorrilla
Valladolid;2;5;José Zorrilla
Valladolid;3;0;José Zorrilla
Valladolid;3;1;José Zorrilla
Valladolid;3;2;José Zorrilla
Valladolid;3;3;José Zorrilla
Valladolid;4;0;José Zorrilla
Valladolid;4;1;José Zorrilla
Valladolid;4;2;José Zorrilla
Valladolid;4;5;José Zorrilla
Valladolid;5;0;José Zorrilla
Valladolid;5;1;José Zorrilla
Valladolid;6;1;José Zorrilla
Valladolid;6;2;José Zorrilla
Valladolid;7;0;José Zorrilla
Valladolid;7;1;José Zorrilla
Vecindario;0;1;
Vecindario;0;2;
Vecindario;0;3;
Vecindario;0;4;
Vecindario;1;0;
Vecindario;1;1;
Vecindario;1;2;
Vecindario;1;4;
Vecindario;1;5;
Vecindario;2;1;
Vecindario;4;2;
Villarreal B;0;0;
Villarreal B;0;1;
Villarreal B;0;2;
Villarreal B;0;3;
Villarreal B;1;0;
Villarreal B;1;1;
Villarreal B;1;2;
Villarreal B;1;4;
Villarreal B;2;0;
Villarreal B;2;1;
Villarreal B;2;2;
Villarreal B;2;3;
Villarreal B;2;5;
Villarreal B;3;1;
Villarreal B;3;2;
Villarreal B;3;3;
Villarreal B;3;4;
Villarreal B;4;0;
Villarreal B;4;2;
Villarreal B;4;3;
Villarreal;0;0;El Madrigal
Villarreal;0;1;El Madrigal
Villarreal;0;2;El Madrigal
Villarreal;0;3;El Madrigal
Villarreal;0;5;El Madrigal
Villarreal;0;6;El Madrigal
Villarreal;1;0;El Madrigal
Villarreal;1;1;El Madrigal
Villarreal;1;2;El Madrigal
Villarreal;1;3;El Madrigal
Villarreal;1;4;El Madrigal
Villarreal;1;5;El Madrigal
Villarreal;2;0;El Madrigal
Villarreal;2;1;El Madrigal
Villarreal;2;2;El Madrigal
Villarreal;2;3;El Madrigal
Villarreal;2;4;El Madrigal
Villarreal;2;5;El Madrigal
Villarreal;3;0;El Madrigal
Villarreal;3;1;El Madrigal
Villarreal;3;2;El Madrigal
Villarreal;3;3;El Madrigal
Villarreal;3;4;El Madrigal
Villarreal;4;0;El Madrigal
Villarreal;4;1;El Madrigal
Villarreal;4;2;El Madrigal
Villarreal;4;3;El Madrigal
Villarreal;4;4;El Madrigal
Villarreal;5;0;El Madrigal
Villarreal;5;1;El Madrigal
Villarreal;5;2;El Madrigal
Villarreal;6;1;El Madrigal
Villarreal;6;3;El Madrigal
Xerez;0;0;Municipal de Chapín
Xerez;0;1;Municipal de Chapín
Xerez;0;2;Municipal de Chapín
Xerez;0;3;Municipal de Chapín
Xerez;0;4;Municipal de Chapín
Xerez;0;6;Municipal de Chapín
Xerez;1;0;Municipal de Chapín
Xerez;1;1;Municipal de Chapín
Xerez;1;2;Municipal de Chapín
Xerez;1;3;Municipal de Chapín
Xerez;1;4;Municipal de Chapín
Xerez;2;0;Municipal de Chapín
Xerez;2;1;Municipal de Chapín
Xerez;2;2;Municipal de Chapín
Xerez;2;3;Municipal de Chapín
Xerez;2;4;Municipal de Chapín
Xerez;3;0;Municipal de Chapín
Xerez;3;1;Municipal de Chapín
Xerez;3;2;Municipal de Chapín
Xerez;3;3;Municipal de Chapín
Xerez;3;4;Municipal de Chapín
Xerez;3;5;Municipal de Chapín
Xerez;4;0;Municipal de Chapín
Xerez;4;1;Municipal de Chapín
Xerez;4;2;Municipal de Chapín
Xerez;4;3;Municipal de Chapín
Xerez;4;4;Municipal de Chapín
Xerez;5;0;Municipal de Chapín
Xerez;5;3;Municipal de Chapín
Zaragoza B;0;0;
Zaragoza B;0;1;
Zaragoza B;0;3;
Zaragoza B;1;0;
Zaragoza B;1;1;
Zaragoza B;1;2;
Zaragoza B;2;1;
Zaragoza B;2;2;
Zaragoza B;2;3;
Zaragoza B;3;1;
Zaragoza B;3;2;
Zaragoza;0;0;La Romareda
Zaragoza;0;1;La Romareda
Zaragoza;0;2;La Romareda
Zaragoza;0;3;La Romareda
Zaragoza;0;4;La Romareda
Zaragoza;0;6;La Romareda
Zaragoza;1;0;La Romareda
Zaragoza;1;1;La Romareda
Zaragoza;1;2;La Romareda
Zaragoza;1;3;La Romareda
Zaragoza;1;4;La Romareda
Zaragoza;1;5;La Romareda
Zaragoza;1;6;La Romareda
Zaragoza;1;7;La Romareda
Zaragoza;2;0;La Romareda
Zaragoza;2;1;La Romareda
Zaragoza;2;2;La Romareda
Zaragoza;2;3;La Romareda
Zaragoza;2;4;La Romareda
Zaragoza;3;0;La Romareda
Zaragoza;3;1;La Romareda
Zaragoza;3;2;La Romareda
Zaragoza;3;3;La Romareda
Zaragoza;3;4;La Romareda
Zaragoza;3;5;La Romareda
Zaragoza;4;0;La Romareda
Zaragoza;4;1;La Romareda
Zaragoza;4;2;La Romareda
Zaragoza;4;3;La Romareda
Zaragoza;4;4;La Romareda
Zaragoza;5;0;La Romareda
Zaragoza;5;1;La Romareda
Zaragoza;5;2;La Romareda
Zaragoza;5;3;La Romareda
Zaragoza;6;0;La Romareda
Zaragoza;6;1;La Romareda
Zaragoza;6;2;La Romareda
Zaragoza;6;3;La Romareda
Zaragoza;7;2;La Romareda
Zaragoza;8;1;La Romareda
